,Year 1,,,,,,,,Year 2,,,,,,,,Year 3,,,,,,,
Shmini,Leviticus 9:1-9:6,Leviticus 9:7-9:10,Leviticus 9:11-9:16,Leviticus 9:17-9:23,Leviticus 9:24-10:3,Leviticus 10:4-10:7,Leviticus 10:8-10:11,Leviticus 10:8-10:11,Leviticus 10:12-10:15,Leviticus 10:16-10:20,Leviticus 11:1-11:8,Leviticus 11:9-11:12,Leviticus 11:13-11:19,Leviticus 11:20-11:28,Leviticus 11:29-11:32,Leviticus 11:29-11:32,Leviticus 11:1-11:8,Leviticus 11:9-11:12,Leviticus 11:13-11:19,Leviticus 11:20-11:28,Leviticus 11:29-11:32,Leviticus 11:33-11:38,Leviticus 11:39-11:47,Leviticus 11:45-11:47
Tazria,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
Metzora,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
Achrei Mot,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
Kedoshim,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
Emor,Leviticus 21:1-21:6,Leviticus 21:7-21:12,Leviticus 21:13-21:15,Leviticus 21:16-21:24,Leviticus 22:1-22:9,Leviticus 22:10-22:12,Leviticus 22:13-22:16,Leviticus 22:13-22:16,Leviticus 22:17-22:20,Leviticus 22:21-22:25,Leviticus 22:26-22:33,Leviticus 23:1-23:3,Leviticus 23:4-23:8,Leviticus 23:9-23:14,Leviticus 23:15-23:22,Leviticus 23:19-23:22,Leviticus 23:23-23:25,Leviticus 23:26-23:32,Leviticus 23:33-23:44,Leviticus 24:1-24:4,Leviticus 24:5-24:9,Leviticus 24:10-24:12,Leviticus 24:13-24:23,Leviticus 24:21-24:23
Behar,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
Bechukotai,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
Bamidbar,Numbers 1:1-1:4,Numbers 1:5-1:16,Numbers 1:17-1:19,Numbers 1:20-1:27,Numbers 1:28-1:35,Numbers 1:36-1:43,Numbers 1:44-1:54,Numbers 1:52-1:154,Numbers 2:1-2:9,Numbers 2:10-2:16,Numbers 2:17-2:24,Numbers 2:25-2:31,Numbers 2:32-2:34,Numbers 3:1-3:4,Numbers 3:5-3:13,Numbers 3:11-3:13,Numbers 3:14-3:20,Numbers 3:21-3:26,Numbers 3:27-3:39,Numbers 3:40-3:43,Numbers 3:44-3:51,Numbers 4:1-4:10,Numbers 4:11-4:20,Numbers 4:17-4:20
Nasso,Numbers 4:21-4:24,Numbers 4:25-4:28,Numbers 4:29-4:33,Numbers 4:34-4:37,Numbers 4:38-4:49,Numbers 5:1-5:4,Numbers 5:5-5:10,Numbers 5:8-5:10,Numbers 5:11-5:15,Numbers 5:16-5:26,Numbers 5:27-6:4,Numbers 6:5-6:8,Numbers 6:9-6:15,Numbers 6:16-6:21,Numbers 6:22-6:27,Numbers 6:22-6:27,Numbers 7:1-7:11,Numbers 7:12-7:23,Numbers 7:24-7:35,Numbers 7:36-7:47,Numbers 7:48-7:59,Numbers 7:60-7:71,Numbers 7:72-7:89,Numbers 7:87-7:89
